acquisition,configuration,fppi_budget,n_seeds,recall_mean,recall_sd
mterie,historical_additive,0.47863009232263826,5,0.32022598870056496,0.07539399316503158
mterie,historical_additive,0.48977881936844614,5,0.32361581920903953,0.07396535426440996
mterie,historical_additive,0.5011872336272722,5,0.32655367231638416,0.07393147029584449
mterie,historical_additive,0.5128613839913648,5,0.3282485875706215,0.07407380807936326
mterie,historical_additive,0.5248074602497725,5,0.33220338983050846,0.07194133856095336
mterie,historical_additive,0.5370317963702527,5,0.33627118644067794,0.07206590625969923
mterie,historical_additive,0.5495408738576245,5,0.33954802259887007,0.07177254015199525
mterie,historical_additive,0.5623413251903491,5,0.34440677966101696,0.07286887292912607
mterie,historical_additive,0.5754399373371569,5,0.34768361581920904,0.07160066908976447
mterie,historical_additive,0.588843655355589,5,0.35276836158192093,0.06844394347529023
mterie,historical_additive,0.6025595860743578,5,0.35649717514124296,0.06856904598168936
mterie,historical_additive,0.6165950018614822,5,0.35920903954802264,0.06758842801485591
mterie,historical_additive,0.6309573444801934,5,0.3624858757062147,0.0682454539633061
mterie,historical_additive,0.6456542290346556,5,0.3655367231638419,0.06730637255413481
mterie,historical_additive,0.6606934480075961,5,0.36881355932203386,0.06741228164857836
mterie,historical_additive,0.6760829753919819,5,0.3728813559322034,0.06851432718389287
mterie,historical_additive,0.6918309709189366,5,0.3763841807909604,0.06871134319258025
mterie,historical_additive,0.707945784384138,5,0.38011299435028245,0.06677598047348764
mterie,historical_additive,0.7244359600749902,5,0.38248587570621473,0.06730992925279175
mterie,historical_additive,0.7413102413009177,5,0.38519774011299435,0.06704312935076742
mterie,historical_additive,0.758577575029184,5,0.38858757062146887,0.06891196474299205
mterie,historical_additive,0.776247116628692,5,0.391638418079096,0.06864162651723606
mterie,historical_additive,0.7943282347242817,5,0.3944632768361582,0.06864046397273098
mterie,historical_additive,0.8128305161640995,5,0.3972881355932203,0.06896289678150888
mterie,historical_additive,0.8317637711026709,5,0.4011299435028248,0.06818743284708963
mterie,historical_additive,0.8511380382023763,5,0.40485875706214697,0.06770073258187327
mterie,historical_additive,0.8709635899560805,5,0.4088135593220339,0.06743382218215341
mterie,historical_additive,0.8912509381337455,5,0.41197740112994347,0.06742175086266172
mterie,historical_additive,0.9120108393559097,5,0.41491525423728814,0.0678149692656214
mterie,historical_additive,0.933254300796991,5,0.4187570621468926,0.0678688409951632
mterie,historical_additive,0.9549925860214359,5,0.42248587570621465,0.06645734638525447
mterie,historical_additive,0.9772372209558107,5,0.4264406779661017,0.06540313679232705
mterie,historical_additive,1.0,5,0.4296045197740114,0.06615792673165387
mterie,historical_additive,1.0232929922807548,5,0.4334463276836158,0.06815629633653641
mterie,historical_additive,1.0471285480508996,5,0.43728813559322033,0.06830319213427079
mterie,historical_additive,1.071519305237607,5,0.4415819209039548,0.06954960597040119
mterie,historical_additive,1.096478196143185,5,0.44440677966101705,0.07044792235485953
mterie,historical_additive,1.122018454301963,5,0.44700564971751405,0.07152350476268353
mterie,historical_additive,1.1481536214968828,5,0.4494915254237288,0.07115571931477498
mterie,historical_additive,1.174897554939529,5,0.45265536723163846,0.07180633157796155
mterie,historical_additive,1.2022644346174132,5,0.4551412429378532,0.07178321284710835
mterie,historical_additive,1.2302687708123812,5,0.4593220338983051,0.07111690622433511
mterie,historical_additive,1.2589254117941675,5,0.46293785310734464,0.07169199906808014
mterie,historical_additive,1.2882495516931336,5,0.4666666666666667,0.07148846342021405
mterie,historical_additive,1.3182567385564075,5,0.4698305084745763,0.0722728947622125
mterie,historical_additive,1.3489628825916533,5,0.4729943502824859,0.07152573611377594
mterie,historical_additive,1.3803842646028852,5,0.47615819209039545,0.07297042689246244
mterie,historical_additive,1.412537544622754,5,0.47932203389830513,0.07287653818438933
