acquisition,configuration,seed,fppi_budget,recall,within_collected_support,attained_fppi,threshold,reject_all,tp,fp,checkpoint_sha256
mterie,historical_fam,41,0.1,0.27570621468926554,True,0.09887005649717515,0.49076637625694275,False,488,70,5fcafd3a5b197456a39bde55b1e1d5a5c1639b5cf4f67bf1ad57dd763e241640
mterie,historical_fam,41,0.5,0.5553672316384181,True,0.5,0.23820199072360992,False,983,354,5fcafd3a5b197456a39bde55b1e1d5a5c1639b5cf4f67bf1ad57dd763e241640
mterie,historical_fam,41,1.0,0.6333333333333333,True,1.0,0.16968108713626862,False,1121,708,5fcafd3a5b197456a39bde55b1e1d5a5c1639b5cf4f67bf1ad57dd763e241640
mterie,historical_fam,42,0.1,0.1824858757062147,True,0.09887005649717515,0.28462648391723633,False,323,70,b96ef8496088911d50d03a6061fe625cec8e17b17a4f1245a49b5b43e3703497
mterie,historical_fam,42,0.5,0.30677966101694915,True,0.5,0.1419336348772049,False,543,354,b96ef8496088911d50d03a6061fe625cec8e17b17a4f1245a49b5b43e3703497
mterie,historical_fam,42,1.0,0.41694915254237286,True,1.0,0.09349672496318817,False,738,708,b96ef8496088911d50d03a6061fe625cec8e17b17a4f1245a49b5b43e3703497
mterie,historical_fam,43,0.1,0.21412429378531073,True,0.09887005649717515,0.4213621914386749,False,379,70,f6407afe0d781eb5c227e46611243d67385f1fc06010d4704f51ac5e8d0ac536
mterie,historical_fam,43,0.5,0.4265536723163842,True,0.5,0.21597786247730255,False,755,354,f6407afe0d781eb5c227e46611243d67385f1fc06010d4704f51ac5e8d0ac536
mterie,historical_fam,43,1.0,0.5485875706214689,True,1.0,0.14537769556045532,False,971,708,f6407afe0d781eb5c227e46611243d67385f1fc06010d4704f51ac5e8d0ac536
mterie,historical_fam,44,0.1,0.2214689265536723,True,0.09887005649717515,0.1999499648809433,False,392,70,2fec1971b28c88cfccb2356de81270c5a75a15082daee435a77eaf0694b98e3e
mterie,historical_fam,44,0.5,0.4457627118644068,True,0.5,0.09231314063072205,False,789,354,2fec1971b28c88cfccb2356de81270c5a75a15082daee435a77eaf0694b98e3e
mterie,historical_fam,44,1.0,0.5305084745762711,True,1.0,0.06767044216394424,False,939,708,2fec1971b28c88cfccb2356de81270c5a75a15082daee435a77eaf0694b98e3e
